epoch_type,n_start,n_end,length
SHOCK_FREE,29594,29637,44
SHOCK_FREE,29682,29705,24
SHOCK_FREE,29750,29777,28
SHOCK_FREE,29808,29837,30
SHOCK_FREE,29858,29889,32
SHOCK_FREE,29894,29927,34
SHOCK_FREE,29952,29985,34
SHOCK_FREE,30008,30029,22
SHOCK_FREE,30084,30125,42
SHOCK_FREE,30194,30219,26
SHOCK_FREE,30228,30255,28
SHOCK_FREE,30302,30351,50
SHOCK_FREE,30410,30437,28
SHOCK_FREE,30464,30485,22
SHOCK_FREE,30488,30521,34
SHOCK_FREE,30524,30549,26
SHOCK_FREE,30552,30579,28
SHOCK_FREE,30630,30671,42
SHOCK_FREE,30692,30729,38
SHOCK_FREE,30750,30789,40
SHOCK_FREE,30792,30845,54
SHOCK_FREE,30858,30881,24
SHOCK_FREE,30888,30915,28
SHOCK_FREE,30930,30957,28
SHOCK_FREE,30974,30995,22
SHOCK_FREE,31068,31097,30
SHOCK_FREE,31112,31131,20
SHOCK_FREE,31134,31167,34
SHOCK_FREE,31170,31199,30
SHOCK_FREE,31202,31241,40
SHOCK_FREE,31262,31287,26
SHOCK_FREE,31314,31349,36
SHOCK_FREE,31374,31409,36
SHOCK_FREE,31464,31517,54
SHOCK_FREE,31530,31551,22
SHOCK_FREE,31572,31607,36
SHOCK_FREE,31632,31677,46
SHOCK_FREE,31694,31745,52
SHOCK_FREE,31754,31775,22
SHOCK_FREE,31790,31817,28
SHOCK_FREE,31832,31851,20
SHOCK_FREE,31952,31977,26
SHOCK_FREE,31980,32015,36
SHOCK_FREE,32048,32091,44
SHOCK_FREE,32112,32169,58
SHOCK_FREE,32172,32229,58
SHOCK_FREE,32240,32265,26
SHOCK_FREE,32312,32337,26
SHOCK_FREE,32340,32385,46
SHOCK_FREE,32400,32435,36
SHOCK_FREE,32448,32475,28
SHOCK_FREE,32490,32549,60
SHOCK_FREE,32552,32627,76
SHOCK_FREE,32702,32721,20
SHOCK_FREE,32778,32805,28
SHOCK_FREE,32808,32847,40
SHOCK_FREE,32900,32945,46
SHOCK_FREE,32952,32999,48
SHOCK_FREE,33018,33041,24
SHOCK_FREE,33044,33065,22
SHOCK_FREE,33068,33099,32
SHOCK_FREE,33128,33155,28
SHOCK_FREE,33170,33195,26
SHOCK_FREE,33284,33321,38
SHOCK_FREE,33324,33359,36
SHOCK_FREE,33368,33387,20
SHOCK_FREE,33402,33429,28
SHOCK_FREE,33464,33489,26
SHOCK_FREE,33500,33569,70
SHOCK_FREE,33572,33651,80
SHOCK_FREE,33702,33729,28
SHOCK_FREE,33744,33791,48
SHOCK_FREE,33800,33821,22
SHOCK_FREE,33854,33897,44
SHOCK_FREE,33920,33945,26
SHOCK_FREE,33948,33971,24
SHOCK_FREE,34010,34035,26
SHOCK_FREE,34050,34077,28
SHOCK_FREE,34122,34161,40
SHOCK_FREE,34208,34239,32
SHOCK_FREE,34242,34269,28
SHOCK_FREE,34292,34341,50
SHOCK_FREE,34344,34385,42
SHOCK_FREE,34428,34449,22
SHOCK_FREE,34454,34545,92
SHOCK_FREE,34580,34607,28
SHOCK_FREE,34634,34679,46
SHOCK_FREE,34734,34775,42
SHOCK_FREE,34788,34821,34
SHOCK_FREE,34832,34859,28
SHOCK_FREE,34944,34965,22
SHOCK_FREE,35012,35031,20
SHOCK_FREE,35048,35135,88
SHOCK_FREE,35144,35177,34
SHOCK_FREE,35264,35295,32
SHOCK_FREE,35304,35331,28
SHOCK_FREE,35342,35367,26
SHOCK_FREE,35390,35415,26
SHOCK_FREE,35430,35457,28
SHOCK_FREE,35472,35499,28
